date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year,ev_market_share
2022-02-01,24,0,0,504,2022,Q4,2,2022,0.0
2022-02-01,24,1,0,773,2022,Q4,2,2022,0.0
2022-02-01,26,1,0,622,2022,Q4,2,2022,0.0
2022-02-01,31,1,0,340,2022,Q4,2,2022,0.0
2022-03-01,1,0,0,383,2022,Q4,3,2022,0.0
2022-03-01,3,0,0,1111,2022,Q4,3,2022,0.0
2022-03-01,3,1,0,679,2022,Q4,3,2022,0.0
2022-03-01,18,0,0,49,2022,Q4,3,2022,0.0
2022-03-01,18,1,0,49,2022,Q4,3,2022,0.0
2022-03-01,21,1,0,717,2022,Q4,3,2022,0.0
2022-03-01,22,0,0,1687,2022,Q4,3,2022,0.0
2022-03-01,22,1,0,1104,2022,Q4,3,2022,0.0
2022-03-01,23,0,0,1848,2022,Q4,3,2022,0.0
2022-03-01,23,1,0,413,2022,Q4,3,2022,0.0
2022-03-01,24,0,0,541,2022,Q4,3,2022,0.0
2022-03-01,24,1,0,632,2022,Q4,3,2022,0.0
2022-03-01,31,1,0,484,2022,Q4,3,2022,0.0
2022-04-01,1,0,0,407,2023,Q1,4,2022,0.0
2022-04-01,3,0,0,1063,2023,Q1,4,2022,0.0
2022-04-01,3,1,0,824,2023,Q1,4,2022,0.0
2022-04-01,18,0,0,351,2023,Q1,4,2022,0.0
2022-04-01,18,1,0,105,2023,Q1,4,2022,0.0
2022-04-01,23,0,0,1530,2023,Q1,4,2022,0.0
2022-04-01,23,1,0,323,2023,Q1,4,2022,0.0
2022-04-01,24,1,0,723,2023,Q1,4,2022,0.0
2022-04-01,31,1,0,448,2023,Q1,4,2022,0.0
2022-05-01,1,0,0,358,2023,Q1,5,2022,0.0
2022-05-01,1,1,0,110,2023,Q1,5,2022,0.0
2022-05-01,3,0,0,1241,2023,Q1,5,2022,0.0
2022-05-01,3,1,0,965,2023,Q1,5,2022,0.0
2022-05-01,18,0,0,419,2023,Q1,5,2022,0.0
2022-05-01,18,1,0,322,2023,Q1,5,2022,0.0
2022-05-01,21,1,0,644,2023,Q1,5,2022,0.0
2022-05-01,22,0,0,1780,2023,Q1,5,2022,0.0
2022-05-01,23,1,0,397,2023,Q1,5,2022,0.0
2022-05-01,24,1,0,630,2023,Q1,5,2022,0.0
2022-05-01,31,1,0,359,2023,Q1,5,2022,0.0
2022-06-01,1,0,0,423,2023,Q1,6,2022,0.0
2022-06-01,1,1,0,115,2023,Q1,6,2022,0.0
2022-06-01,3,0,0,1253,2023,Q1,6,2022,0.0
2022-06-01,3,1,0,1021,2023,Q1,6,2022,0.0
2022-06-01,18,1,0,310,2023,Q1,6,2022,0.0
2022-06-01,21,1,0,1029,2023,Q1,6,2022,0.0
2022-06-01,23,1,0,373,2023,Q1,6,2022,0.0
2022-06-01,24,0,0,594,2023,Q1,6,2022,0.0
2022-06-01,24,1,0,735,2023,Q1,6,2022,0.0
2022-06-01,31,1,0,354,2023,Q1,6,2022,0.0
2022-07-01,1,0,0,385,2023,Q2,7,2022,0.0
2022-07-01,1,1,0,127,2023,Q2,7,2022,0.0
2022-07-01,3,0,0,1181,2023,Q2,7,2022,0.0
2022-07-01,8,1,0,344,2023,Q2,7,2022,0.0
2022-07-01,18,0,0,314,2023,Q2,7,2022,0.0
2022-07-01,21,1,0,775,2023,Q2,7,2022,0.0
2022-07-01,23,1,0,319,2023,Q2,7,2022,0.0
2022-07-01,24,0,0,505,2023,Q2,7,2022,0.0
2022-07-01,24,1,0,591,2023,Q2,7,2022,0.0
2022-07-01,31,1,0,402,2023,Q2,7,2022,0.0
2022-08-01,1,0,0,398,2023,Q2,8,2022,0.0
2022-08-01,1,1,0,154,2023,Q2,8,2022,0.0
2022-08-01,3,0,0,1244,2023,Q2,8,2022,0.0
2022-08-01,3,1,0,866,2023,Q2,8,2022,0.0
2022-08-01,18,0,0,222,2023,Q2,8,2022,0.0
2022-08-01,21,1,0,623,2023,Q2,8,2022,0.0
2022-08-01,22,1,0,1120,2023,Q2,8,2022,0.0
2022-08-01,23,1,0,408,2023,Q2,8,2022,0.0
2022-08-01,24,0,0,554,2023,Q2,8,2022,0.0
2022-08-01,24,1,0,844,2023,Q2,8,2022,0.0
2022-08-01,31,1,0,403,2023,Q2,8,2022,0.0
2022-09-01,1,0,0,484,2023,Q2,9,2022,0.0
2022-09-01,1,1,0,128,2023,Q2,9,2022,0.0
2022-09-01,3,0,0,1068,2023,Q2,9,2022,0.0
2022-09-01,3,1,0,931,2023,Q2,9,2022,0.0
2022-09-01,18,0,0,30,2023,Q2,9,2022,0.0
2022-09-01,18,1,0,189,2023,Q2,9,2022,0.0
2022-09-01,21,1,0,820,2023,Q2,9,2022,0.0
2022-09-01,23,1,0,379,2023,Q2,9,2022,0.0
2022-09-01,24,0,0,589,2023,Q2,9,2022,0.0
2022-09-01,24,1,0,780,2023,Q2,9,2022,0.0
2022-09-01,31,1,0,465,2023,Q2,9,2022,0.0
2022-10-01,1,0,0,409,2023,Q3,10,2022,0.0
2022-10-01,1,1,0,144,2023,Q3,10,2022,0.0
2022-10-01,3,0,0,850,2023,Q3,10,2022,0.0
2022-10-01,3,1,0,741,2023,Q3,10,2022,0.0
2022-10-01,18,0,0,27,2023,Q3,10,2022,0.0
2022-10-01,18,1,0,264,2023,Q3,10,2022,0.0
2022-10-01,21,1,0,596,2023,Q3,10,2022,0.0
2022-10-01,23,1,0,362,2023,Q3,10,2022,0.0
2022-10-01,24,0,0,374,2023,Q3,10,2022,0.0
2022-10-01,24,1,0,690,2023,Q3,10,2022,0.0
2022-10-01,31,1,0,416,2023,Q3,10,2022,0.0
2022-11-01,3,0,0,1251,2023,Q3,11,2022,0.0
2022-11-01,3,1,0,971,2023,Q3,11,2022,0.0
2022-11-01,14,1,0,4102,2023,Q3,11,2022,0.0
2022-11-01,18,0,0,23,2023,Q3,11,2022,0.0
2022-11-01,18,1,0,244,2023,Q3,11,2022,0.0
2022-11-01,21,1,0,1569,2023,Q3,11,2022,0.0
2022-11-01,22,1,0,1158,2023,Q3,11,2022,0.0
2022-11-01,23,1,0,378,2023,Q3,11,2022,0.0
2022-11-01,24,0,0,447,2023,Q3,11,2022,0.0
2022-11-01,24,1,0,724,2023,Q3,11,2022,0.0
2022-11-01,27,1,0,8875,2023,Q3,11,2022,0.0
2022-11-01,31,1,0,410,2023,Q3,11,2022,0.0
2022-12-01,3,1,0,865,2023,Q3,12,2022,0.0
2022-12-01,18,0,0,16,2023,Q3,12,2022,0.0
2022-12-01,18,1,0,144,2023,Q3,12,2022,0.0
2022-12-01,21,1,0,1478,2023,Q3,12,2022,0.0
2022-12-01,22,1,0,1150,2023,Q3,12,2022,0.0
2022-12-01,23,1,0,445,2023,Q3,12,2022,0.0
2022-12-01,24,0,0,369,2023,Q3,12,2022,0.0
2022-12-01,24,1,0,490,2023,Q3,12,2022,0.0
2022-12-01,31,1,0,385,2023,Q3,12,2022,0.0
2023-01-01,1,0,0,373,2023,Q4,1,2023,0.0
2023-01-01,1,1,0,153,2023,Q4,1,2023,0.0
2023-01-01,3,0,0,718,2023,Q4,1,2023,0.0
2023-01-01,3,1,0,966,2023,Q4,1,2023,0.0
2023-01-01,18,1,0,92,2023,Q4,1,2023,0.0
2023-01-01,23,1,0,476,2023,Q4,1,2023,0.0
2023-01-01,24,0,0,432,2023,Q4,1,2023,0.0
2023-01-01,24,1,0,545,2023,Q4,1,2023,0.0
2023-01-01,27,1,0,11608,2023,Q4,1,2023,0.0
2023-01-01,31,1,0,399,2023,Q4,1,2023,0.0
2023-02-01,1,0,0,346,2023,Q4,2,2023,0.0
2023-02-01,1,1,0,148,2023,Q4,2,2023,0.0
2023-02-01,3,0,0,816,2023,Q4,2,2023,0.0
2023-02-01,3,1,0,840,2023,Q4,2,2023,0.0
2023-02-01,18,0,0,5,2023,Q4,2,2023,0.0
2023-02-01,18,1,0,49,2023,Q4,2,2023,0.0
2023-02-01,22,1,0,1002,2023,Q4,2,2023,0.0
2023-02-01,23,1,0,337,2023,Q4,2,2023,0.0
2023-02-01,24,0,0,375,2023,Q4,2,2023,0.0
2023-02-01,24,1,0,806,2023,Q4,2,2023,0.0
2023-02-01,31,1,0,328,2023,Q4,2,2023,0.0
2023-03-01,3,0,0,1131,2023,Q4,3,2023,0.0
2023-03-01,3,1,0,1048,2023,Q4,3,2023,0.0
2023-03-01,18,0,0,30,2023,Q4,3,2023,0.0
2023-03-01,18,1,0,59,2023,Q4,3,2023,0.0
2023-03-01,21,1,0,320,2023,Q4,3,2023,0.0
2023-03-01,22,1,0,1369,2023,Q4,3,2023,0.0
2023-03-01,23,1,0,433,2023,Q4,3,2023,0.0
2023-03-01,24,0,0,693,2023,Q4,3,2023,0.0
2023-03-01,24,1,0,820,2023,Q4,3,2023,0.0
2023-04-01,1,0,0,325,2024,Q1,4,2023,0.0
2023-04-01,3,0,0,971,2024,Q1,4,2023,0.0
2023-04-01,18,0,0,43,2024,Q1,4,2023,0.0
2023-04-01,18,1,0,219,2024,Q1,4,2023,0.0
2023-04-01,21,1,0,942,2024,Q1,4,2023,0.0
2023-04-01,23,1,0,336,2024,Q1,4,2023,0.0
2023-04-01,24,0,0,560,2024,Q1,4,2023,0.0
2023-05-01,1,0,0,436,2024,Q1,5,2023,0.0
2023-05-01,1,1,0,150,2024,Q1,5,2023,0.0
2023-05-01,3,1,0,1132,2024,Q1,5,2023,0.0
2023-05-01,18,1,0,364,2024,Q1,5,2023,0.0
2023-05-01,23,1,0,382,2024,Q1,5,2023,0.0
2023-05-01,24,0,0,610,2024,Q1,5,2023,0.0
2023-05-01,24,1,0,796,2024,Q1,5,2023,0.0
2023-06-01,1,0,0,373,2024,Q1,6,2023,0.0
2023-06-01,3,0,0,1141,2024,Q1,6,2023,0.0
2023-06-01,3,1,0,1089,2024,Q1,6,2023,0.0
2023-06-01,18,1,0,304,2024,Q1,6,2023,0.0
2023-06-01,21,1,0,220,2024,Q1,6,2023,0.0
2023-06-01,23,1,0,383,2024,Q1,6,2023,0.0
2023-06-01,24,0,0,650,2024,Q1,6,2023,0.0
2023-06-01,24,1,0,620,2024,Q1,6,2023,0.0
2023-07-01,1,0,0,424,2024,Q2,7,2023,0.0
2023-07-01,3,0,0,1315,2024,Q2,7,2023,0.0
2023-07-01,18,1,0,301,2024,Q2,7,2023,0.0
2023-07-01,23,1,0,439,2024,Q2,7,2023,0.0
2023-08-01,1,0,0,477,2024,Q2,8,2023,0.0
2023-08-01,3,0,0,1292,2024,Q2,8,2023,0.0
2023-08-01,18,0,0,63,2024,Q2,8,2023,0.0
2023-08-01,18,1,0,278,2024,Q2,8,2023,0.0
2023-08-01,23,1,0,410,2024,Q2,8,2023,0.0
2023-08-01,24,0,0,592,2024,Q2,8,2023,0.0
2023-08-01,24,1,0,760,2024,Q2,8,2023,0.0
